timestamp,gasRatio,baseFeePerGas,transactionCount,usdPrice,btcPrice
2023-12-09 12:31:35,36.00,31.1,127,2351.48,0.05368833
2023-12-09 12:59:59,77.00,30.2,167,2356.84,0.05376957
2023-12-09 13:29:47,36.00,29.2,150,2353.93,0.05376494
2023-12-09 13:59:59,30.00,29.5,107,2358.45,0.05371549
2023-12-09 14:29:47,59.00,28.3,185,2355.24,0.05358459
2023-12-09 14:59:47,35.00,33.4,115,2359.56,0.05359302
2023-12-09 15:29:47,30.00,40.2,110,2365.16,0.05369038
2023-12-09 15:59:47,37.00,50.4,132,2348.39,0.05344303
2023-12-09 16:29:47,35.00,50.1,122,2353.05,0.05353022
2023-12-09 16:59:47,90.00,39.8,311,2366.59,0.05366665
2023-12-09 17:29:47,52.00,45.7,135,2351.63,0.05343917
2023-12-09 17:59:47,56.00,48.8,149,2353.39,0.05346728
2023-12-09 18:29:47,43.00,42.7,125,2347.8,0.05339417
2023-12-09 18:59:47,31.00,41.3,119,2351.62,0.05351255
2023-12-09 19:29:47,83.00,33.4,196,2355.21,0.0535766
2023-12-09 19:59:47,58.00,26.4,183,2359.66,0.05366606
2023-12-09 20:29:59,45.00,29.4,138,2358.89,0.05365547
